id_student,gender,region,highest_education,imd_band,disability
497632,F,Wales,A Level or Equivalent,90-100%,N
497793,F,North Region,Lower Than A Level,20-30%,N
497809,M,Yorkshire Region,A Level or Equivalent,0-10%,N
497855,M,North Region,A Level or Equivalent,,N
497872,F,Yorkshire Region,A Level or Equivalent,40-50%,N
497891,M,London Region,Lower Than A Level,20-30%,N
497897,F,West Midlands Region,No Formal quals,10-20,N
497898,F,South West Region,A Level or Equivalent,30-40%,N
497925,F,East Anglian Region,Lower Than A Level,40-50%,N
497955,F,Ireland,A Level or Equivalent,80-90%,N
497989,F,North Western Region,A Level or Equivalent,20-30%,Y
497994,M,East Anglian Region,A Level or Equivalent,40-50%,Y
498006,M,South Region,A Level or Equivalent,90-100%,N
498031,F,South Region,A Level or Equivalent,80-90%,N
498043,M,Yorkshire Region,A Level or Equivalent,60-70%,N
498065,F,West Midlands Region,HE Qualification,0-10%,N
498131,F,East Anglian Region,Lower Than A Level,70-80%,N
498138,M,Ireland,Lower Than A Level,70-80%,N
498175,F,South West Region,Lower Than A Level,60-70%,N
498225,M,South Region,HE Qualification,70-80%,N
498236,M,North Region,HE Qualification,20-30%,N
498261,M,Yorkshire Region,Lower Than A Level,10-20,N
498266,M,North Western Region,A Level or Equivalent,30-40%,N
498269,F,East Anglian Region,Lower Than A Level,70-80%,Y
498296,F,East Anglian Region,A Level or Equivalent,40-50%,Y
498320,F,Scotland,A Level or Equivalent,80-90%,Y
498326,M,North Western Region,A Level or Equivalent,40-50%,N
498363,F,East Anglian Region,Lower Than A Level,60-70%,Y
498371,F,North Western Region,A Level or Equivalent,60-70%,N
498432,F,South West Region,A Level or Equivalent,90-100%,N
498438,M,East Anglian Region,Lower Than A Level,50-60%,N
498442,M,Ireland,A Level or Equivalent,50-60%,N
498455,F,Wales,Lower Than A Level,10-20,N
498459,F,East Anglian Region,HE Qualification,90-100%,N
498527,M,Scotland,HE Qualification,60-70%,N
498543,M,Scotland,Lower Than A Level,50-60%,N
498554,M,South West Region,Lower Than A Level,90-100%,N
498564,F,North Western Region,Lower Than A Level,0-10%,Y
498578,F,South West Region,A Level or Equivalent,20-30%,N
498582,M,North Region,A Level or Equivalent,70-80%,N
498602,M,Scotland,A Level or Equivalent,70-80%,N
498635,M,South West Region,A Level or Equivalent,20-30%,N
498636,M,South Region,Lower Than A Level,20-30%,Y
498702,F,East Midlands Region,A Level or Equivalent,0-10%,N
498741,M,Yorkshire Region,HE Qualification,0-10%,N
498755,F,London Region,A Level or Equivalent,0-10%,N
498793,M,Wales,Lower Than A Level,10-20,Y
498821,F,Yorkshire Region,Lower Than A Level,20-30%,N
498828,M,East Anglian Region,A Level or Equivalent,20-30%,N
498835,F,South Region,A Level or Equivalent,90-100%,N
498841,F,East Midlands Region,A Level or Equivalent,70-80%,N
498857,M,North Western Region,HE Qualification,80-90%,N
498877,F,South Region,A Level or Equivalent,20-30%,N
498892,M,Scotland,Lower Than A Level,20-30%,N
498898,F,South Region,Lower Than A Level,50-60%,N
498903,M,South West Region,Lower Than A Level,20-30%,N
498905,F,London Region,A Level or Equivalent,70-80%,N
498967,F,East Midlands Region,Lower Than A Level,0-10%,N
498972,M,South Region,A Level or Equivalent,70-80%,N
498980,M,South East Region,Lower Than A Level,20-30%,Y
499006,F,London Region,Lower Than A Level,70-80%,N
499027,F,West Midlands Region,Lower Than A Level,70-80%,N
499056,M,West Midlands Region,A Level or Equivalent,20-30%,N
499067,F,South East Region,Lower Than A Level,30-40%,Y
499118,F,Wales,A Level or Equivalent,80-90%,N
499187,F,South East Region,A Level or Equivalent,70-80%,N
499244,M,South Region,Lower Than A Level,70-80%,N
499246,F,South West Region,A Level or Equivalent,50-60%,Y
499354,M,Wales,A Level or Equivalent,80-90%,N
499372,M,London Region,A Level or Equivalent,10-20,Y
499373,F,South West Region,Lower Than A Level,40-50%,N
499380,F,Yorkshire Region,A Level or Equivalent,20-30%,N
499386,M,South Region,No Formal quals,50-60%,N
499387,F,South West Region,A Level or Equivalent,0-10%,N
499392,M,South West Region,Lower Than A Level,40-50%,Y
499400,M,East Midlands Region,A Level or Equivalent,90-100%,N
499404,F,North Western Region,A Level or Equivalent,30-40%,N
499419,M,South West Region,A Level or Equivalent,10-20,N
499420,M,West Midlands Region,A Level or Equivalent,60-70%,N
499446,F,London Region,A Level or Equivalent,10-20,Y
499469,M,Wales,Lower Than A Level,0-10%,N
499483,F,North Region,A Level or Equivalent,10-20,N
499511,F,South West Region,A Level or Equivalent,30-40%,N
499557,M,Scotland,A Level or Equivalent,90-100%,N
499564,M,South Region,Lower Than A Level,90-100%,N
499624,F,London Region,A Level or Equivalent,20-30%,N
499683,M,South West Region,Lower Than A Level,20-30%,N
499703,F,South West Region,A Level or Equivalent,50-60%,N
499768,F,Yorkshire Region,HE Qualification,40-50%,N
499790,F,London Region,A Level or Equivalent,20-30%,Y
499813,M,North Region,A Level or Equivalent,,N
499819,F,Yorkshire Region,A Level or Equivalent,10-20,N
499822,F,Wales,HE Qualification,10-20,N
499848,F,West Midlands Region,Lower Than A Level,50-60%,N
499865,F,Scotland,HE Qualification,80-90%,N
499881,F,South West Region,A Level or Equivalent,0-10%,N
499891,F,North Region,Lower Than A Level,30-40%,N
499931,F,North Western Region,A Level or Equivalent,30-40%,N
499952,F,Scotland,A Level or Equivalent,70-80%,N
499993,M,East Anglian Region,Lower Than A Level,90-100%,N
500001,M,East Anglian Region,HE Qualification,40-50%,N
500006,M,Yorkshire Region,A Level or Equivalent,20-30%,Y
500016,F,London Region,Lower Than A Level,40-50%,N
500031,F,South West Region,Lower Than A Level,80-90%,N
500067,M,Scotland,HE Qualification,0-10%,N
500068,M,West Midlands Region,Lower Than A Level,10-20,N
500099,M,North Region,A Level or Equivalent,0-10%,N
500112,F,West Midlands Region,A Level or Equivalent,60-70%,N
500113,M,South East Region,A Level or Equivalent,70-80%,N
500135,F,East Anglian Region,A Level or Equivalent,70-80%,Y
500136,F,Ireland,A Level or Equivalent,0-10%,N
500137,F,South Region,Lower Than A Level,50-60%,Y
500189,M,Scotland,A Level or Equivalent,80-90%,N
500230,M,West Midlands Region,Lower Than A Level,60-70%,N
500279,F,East Anglian Region,A Level or Equivalent,60-70%,N
500283,M,South Region,Lower Than A Level,90-100%,N
500339,M,North Western Region,Lower Than A Level,70-80%,N
500395,F,East Midlands Region,Lower Than A Level,10-20,N
500440,M,London Region,A Level or Equivalent,30-40%,N
500459,F,South West Region,Lower Than A Level,40-50%,N
500502,F,East Anglian Region,Lower Than A Level,60-70%,N
500507,F,London Region,A Level or Equivalent,60-70%,N
500521,F,Scotland,Lower Than A Level,30-40%,Y
500522,F,East Anglian Region,A Level or Equivalent,60-70%,N
500552,F,London Region,Lower Than A Level,60-70%,N
500581,M,East Anglian Region,Post Graduate Qualification,90-100%,N
500585,F,Yorkshire Region,A Level or Equivalent,0-10%,Y
500597,M,West Midlands Region,A Level or Equivalent,0-10%,N
500618,M,East Anglian Region,A Level or Equivalent,80-90%,Y
500625,M,South East Region,Lower Than A Level,10-20,N
500652,M,East Anglian Region,Lower Than A Level,80-90%,N
500659,F,North Western Region,A Level or Equivalent,0-10%,Y
500668,F,Scotland,HE Qualification,60-70%,N
500707,F,East Anglian Region,A Level or Equivalent,60-70%,Y
500719,M,North Region,Lower Than A Level,0-10%,N
500720,F,South Region,HE Qualification,80-90%,N
500766,F,London Region,HE Qualification,10-20,N
500772,M,East Anglian Region,A Level or Equivalent,90-100%,N
500779,M,East Anglian Region,HE Qualification,80-90%,N
500785,F,South Region,A Level or Equivalent,50-60%,Y
500791,F,East Anglian Region,Lower Than A Level,60-70%,N
500815,F,Ireland,A Level or Equivalent,,N
500819,F,South East Region,Lower Than A Level,60-70%,N
500836,M,West Midlands Region,A Level or Equivalent,40-50%,Y
500915,F,South West Region,Lower Than A Level,60-70%,Y
500958,M,North Region,Lower Than A Level,,N
501008,F,Yorkshire Region,A Level or Equivalent,30-40%,N
501053,F,South East Region,Lower Than A Level,20-30%,N
501095,F,South West Region,Lower Than A Level,70-80%,N
501123,F,West Midlands Region,A Level or Equivalent,50-60%,N
501146,M,South East Region,HE Qualification,90-100%,N
501158,M,Ireland,Lower Than A Level,,N
501203,M,South Region,Lower Than A Level,90-100%,N
501208,F,South East Region,Lower Than A Level,60-70%,N
501302,F,Scotland,HE Qualification,40-50%,N
501336,M,Wales,A Level or Equivalent,80-90%,N
501339,M,South West Region,Lower Than A Level,20-30%,Y
501411,M,London Region,A Level or Equivalent,10-20,N
501414,F,East Midlands Region,A Level or Equivalent,30-40%,N
501421,M,West Midlands Region,Lower Than A Level,70-80%,N
501422,M,North Western Region,A Level or Equivalent,60-70%,N
501425,F,Wales,Lower Than A Level,40-50%,N
501432,F,South Region,A Level or Equivalent,40-50%,N
501443,M,West Midlands Region,HE Qualification,20-30%,N
501444,M,South Region,Lower Than A Level,10-20,N
501487,M,Ireland,A Level or Equivalent,40-50%,N
501488,F,North Western Region,A Level or Equivalent,20-30%,N
501493,M,North Western Region,Lower Than A Level,10-20,Y
501550,F,West Midlands Region,A Level or Equivalent,70-80%,N
501617,F,Ireland,Lower Than A Level,,N
501637,F,South West Region,A Level or Equivalent,20-30%,Y
501652,F,Wales,A Level or Equivalent,50-60%,N
501723,F,South Region,A Level or Equivalent,40-50%,N
501755,M,South Region,Lower Than A Level,80-90%,N
501862,F,Wales,Lower Than A Level,0-10%,N
501867,M,London Region,HE Qualification,20-30%,N
501869,M,North Western Region,A Level or Equivalent,0-10%,N
501871,M,North Western Region,Lower Than A Level,0-10%,N
501879,F,East Anglian Region,A Level or Equivalent,60-70%,N
501888,F,South West Region,Lower Than A Level,10-20,Y
501890,M,North Western Region,A Level or Equivalent,10-20,N
501897,M,West Midlands Region,A Level or Equivalent,20-30%,N
501918,M,London Region,A Level or Equivalent,0-10%,N
501921,M,East Midlands Region,A Level or Equivalent,10-20,N
501922,M,London Region,Lower Than A Level,0-10%,N
501945,F,South Region,Lower Than A Level,40-50%,N
501955,M,South West Region,Lower Than A Level,70-80%,Y
501960,F,South Region,A Level or Equivalent,30-40%,N
502004,M,North Western Region,A Level or Equivalent,40-50%,N
502011,F,East Midlands Region,Lower Than A Level,20-30%,N
502051,F,South Region,Lower Than A Level,40-50%,N
502057,F,London Region,Lower Than A Level,40-50%,N
502088,F,South West Region,A Level or Equivalent,40-50%,Y
502131,F,Scotland,Lower Than A Level,60-70%,N
502136,F,North Region,A Level or Equivalent,,N
502150,M,Yorkshire Region,A Level or Equivalent,30-40%,N
502161,M,East Anglian Region,A Level or Equivalent,50-60%,Y
502182,F,South Region,Lower Than A Level,50-60%,N
502207,M,North Region,A Level or Equivalent,40-50%,N
502249,M,East Anglian Region,A Level or Equivalent,40-50%,Y
502279,F,West Midlands Region,HE Qualification,60-70%,N
502303,M,Yorkshire Region,A Level or Equivalent,0-10%,N
502353,M,South West Region,Lower Than A Level,60-70%,N
502356,M,Wales,A Level or Equivalent,0-10%,N
502361,M,West Midlands Region,Lower Than A Level,60-70%,N
502391,M,Scotland,HE Qualification,10-20,N
502393,M,East Anglian Region,A Level or Equivalent,60-70%,N
502441,F,South West Region,A Level or Equivalent,80-90%,N
502452,F,South West Region,A Level or Equivalent,90-100%,N
502465,M,North Western Region,A Level or Equivalent,10-20,N
502466,M,London Region,Lower Than A Level,0-10%,N
502470,M,West Midlands Region,Lower Than A Level,30-40%,N
502477,F,South East Region,A Level or Equivalent,60-70%,N
502479,M,Scotland,HE Qualification,30-40%,Y
502501,M,North Western Region,Lower Than A Level,70-80%,N
502512,M,East Midlands Region,HE Qualification,10-20,N
502517,M,West Midlands Region,A Level or Equivalent,90-100%,N
502531,M,South Region,Lower Than A Level,50-60%,N
502548,F,North Region,Lower Than A Level,30-40%,N
502554,M,South Region,HE Qualification,90-100%,N
502557,M,South West Region,HE Qualification,20-30%,N
502604,F,West Midlands Region,HE Qualification,10-20,N
502621,F,South West Region,A Level or Equivalent,50-60%,Y
502638,M,South East Region,Lower Than A Level,80-90%,N
502640,M,London Region,A Level or Equivalent,10-20,N
502642,M,East Anglian Region,A Level or Equivalent,70-80%,N
502694,F,North Region,A Level or Equivalent,80-90%,N
502696,M,South Region,A Level or Equivalent,80-90%,N
502697,M,South East Region,A Level or Equivalent,60-70%,N
502709,M,East Anglian Region,HE Qualification,30-40%,N
502713,F,Wales,No Formal quals,30-40%,N
502717,F,Wales,Lower Than A Level,80-90%,N
502736,M,East Midlands Region,Lower Than A Level,90-100%,N
502763,F,Yorkshire Region,Lower Than A Level,40-50%,N
502766,F,South West Region,A Level or Equivalent,90-100%,N
502767,F,South East Region,A Level or Equivalent,20-30%,N
502779,M,Ireland,A Level or Equivalent,80-90%,Y
502833,M,Scotland,Lower Than A Level,30-40%,N
502868,M,Yorkshire Region,A Level or Equivalent,70-80%,N
502872,F,North Western Region,A Level or Equivalent,20-30%,N
502900,M,East Anglian Region,A Level or Equivalent,50-60%,N
502903,M,South Region,Lower Than A Level,90-100%,N
502929,M,London Region,Lower Than A Level,10-20,N
502973,M,South East Region,Lower Than A Level,50-60%,N
502993,F,Yorkshire Region,A Level or Equivalent,10-20,N
503015,M,Wales,HE Qualification,30-40%,N
503023,F,South East Region,Lower Than A Level,70-80%,N
503024,F,London Region,Lower Than A Level,50-60%,N
503086,F,North Region,Lower Than A Level,,N
503100,M,Yorkshire Region,Lower Than A Level,60-70%,N
503120,M,South Region,Lower Than A Level,40-50%,N
503134,F,London Region,A Level or Equivalent,10-20,N
503154,M,Wales,A Level or Equivalent,80-90%,N
503159,F,South East Region,Lower Than A Level,30-40%,N
503170,M,South Region,A Level or Equivalent,70-80%,N
503183,M,East Anglian Region,A Level or Equivalent,70-80%,N
503201,M,North Western Region,Lower Than A Level,30-40%,N
503322,F,South West Region,Lower Than A Level,10-20,N
503352,M,London Region,A Level or Equivalent,70-80%,N
503353,F,North Western Region,A Level or Equivalent,30-40%,N
503368,F,South West Region,Lower Than A Level,80-90%,N
503390,F,Yorkshire Region,A Level or Equivalent,10-20,N
503400,M,North Western Region,A Level or Equivalent,50-60%,N
503401,M,South Region,Lower Than A Level,90-100%,N
503457,F,Scotland,A Level or Equivalent,40-50%,N
503469,M,Yorkshire Region,A Level or Equivalent,90-100%,N
503477,M,East Midlands Region,A Level or Equivalent,80-90%,N
503491,F,West Midlands Region,Lower Than A Level,0-10%,N
503497,M,South East Region,Lower Than A Level,90-100%,N
503509,F,South East Region,A Level or Equivalent,30-40%,N
503516,F,Scotland,Lower Than A Level,70-80%,Y
503544,M,North Western Region,HE Qualification,0-10%,N
503610,M,South West Region,A Level or Equivalent,30-40%,N
503663,F,East Midlands Region,Lower Than A Level,60-70%,Y
503668,F,London Region,Lower Than A Level,50-60%,N
503684,M,East Anglian Region,Lower Than A Level,40-50%,N
503710,M,West Midlands Region,HE Qualification,30-40%,N
503731,M,South West Region,A Level or Equivalent,50-60%,N
503764,M,South East Region,Lower Than A Level,90-100%,N
503779,M,London Region,Lower Than A Level,10-20,Y
503783,F,East Anglian Region,A Level or Equivalent,0-10%,N
503804,F,Ireland,Lower Than A Level,10-20,N
503838,F,East Anglian Region,HE Qualification,90-100%,N
503872,M,North Western Region,A Level or Equivalent,70-80%,N
503878,F,South West Region,Lower Than A Level,50-60%,Y
503889,F,Yorkshire Region,A Level or Equivalent,30-40%,N
503926,F,East Anglian Region,A Level or Equivalent,70-80%,N
504013,F,Wales,A Level or Equivalent,10-20,N
504014,F,Wales,Lower Than A Level,50-60%,N
504021,F,North Western Region,Lower Than A Level,0-10%,N
504022,F,North Region,A Level or Equivalent,0-10%,N
504028,F,Yorkshire Region,A Level or Equivalent,20-30%,N
504034,F,Ireland,A Level or Equivalent,0-10%,N
504057,F,North Region,A Level or Equivalent,20-30%,Y
504062,M,Scotland,HE Qualification,40-50%,N
504064,F,East Anglian Region,A Level or Equivalent,30-40%,Y
504066,F,East Midlands Region,Lower Than A Level,50-60%,N
504076,F,West Midlands Region,Lower Than A Level,20-30%,N
504089,M,North Western Region,A Level or Equivalent,70-80%,N
504102,F,North Western Region,Lower Than A Level,30-40%,N
504105,M,Scotland,A Level or Equivalent,50-60%,N
504157,F,South East Region,Lower Than A Level,70-80%,N
504162,M,Yorkshire Region,Lower Than A Level,90-100%,Y
504190,M,London Region,HE Qualification,20-30%,N
504200,M,Scotland,Lower Than A Level,0-10%,Y
504231,M,South Region,A Level or Equivalent,90-100%,Y
504234,F,London Region,A Level or Equivalent,10-20,N
504243,F,North Region,A Level or Equivalent,,N
504246,F,West Midlands Region,A Level or Equivalent,30-40%,N
504251,F,Scotland,A Level or Equivalent,50-60%,N
504270,M,North Region,A Level or Equivalent,,N
504300,M,North Region,Lower Than A Level,,N
504321,F,North Western Region,A Level or Equivalent,60-70%,N
504352,F,London Region,Lower Than A Level,30-40%,N
504363,M,London Region,A Level or Equivalent,10-20,N
504368,M,East Anglian Region,Lower Than A Level,40-50%,N
504393,F,West Midlands Region,A Level or Equivalent,90-100%,N
504404,M,North Western Region,Lower Than A Level,90-100%,N
504429,F,North Western Region,HE Qualification,80-90%,N
504466,F,Scotland,Lower Than A Level,50-60%,N
504492,M,Scotland,HE Qualification,70-80%,N
504533,M,East Midlands Region,A Level or Equivalent,70-80%,N
504552,M,East Anglian Region,Lower Than A Level,60-70%,N
504583,M,South Region,Lower Than A Level,40-50%,N
504589,F,South Region,A Level or Equivalent,80-90%,N
504596,M,Wales,Lower Than A Level,50-60%,N
504597,M,South Region,Lower Than A Level,70-80%,N
504602,M,East Anglian Region,HE Qualification,20-30%,N
504635,F,Wales,HE Qualification,90-100%,N
504652,M,London Region,Lower Than A Level,70-80%,N
504689,F,Yorkshire Region,A Level or Equivalent,50-60%,N
504700,M,South West Region,A Level or Equivalent,20-30%,N
504728,F,South West Region,Lower Than A Level,0-10%,N
504737,F,West Midlands Region,A Level or Equivalent,0-10%,N
504741,M,Scotland,HE Qualification,90-100%,Y
504749,M,South Region,A Level or Equivalent,20-30%,N
504819,F,East Anglian Region,Lower Than A Level,50-60%,N
504824,M,Yorkshire Region,Lower Than A Level,90-100%,N
504834,F,Wales,HE Qualification,30-40%,N
504841,M,South Region,A Level or Equivalent,20-30%,N
504842,F,East Midlands Region,Lower Than A Level,20-30%,N
504862,F,Scotland,HE Qualification,30-40%,N
504899,M,East Midlands Region,A Level or Equivalent,60-70%,N
504936,F,East Anglian Region,Lower Than A Level,90-100%,N
504956,M,Scotland,HE Qualification,30-40%,Y
504967,F,East Midlands Region,Lower Than A Level,80-90%,N
505002,M,London Region,A Level or Equivalent,10-20,N
505017,M,North Western Region,A Level or Equivalent,0-10%,N
505047,M,East Anglian Region,HE Qualification,70-80%,N
505108,M,North Western Region,HE Qualification,70-80%,N
505123,F,East Anglian Region,A Level or Equivalent,20-30%,N
505131,M,East Midlands Region,Lower Than A Level,80-90%,N
505142,M,Yorkshire Region,Lower Than A Level,0-10%,N
505151,F,Scotland,A Level or Equivalent,0-10%,N
505153,M,North Region,A Level or Equivalent,10-20,N
505199,M,London Region,Lower Than A Level,80-90%,N
505209,F,East Anglian Region,Lower Than A Level,20-30%,N
505216,F,West Midlands Region,A Level or Equivalent,0-10%,N
505235,M,East Midlands Region,HE Qualification,60-70%,N
505244,M,North Western Region,A Level or Equivalent,0-10%,N
505248,F,South Region,A Level or Equivalent,50-60%,N
505311,M,London Region,Lower Than A Level,40-50%,N
505315,F,South West Region,No Formal quals,30-40%,N
505333,M,Wales,Lower Than A Level,0-10%,N
505376,F,South Region,Lower Than A Level,60-70%,N
505403,M,London Region,A Level or Equivalent,70-80%,N
505410,M,Wales,Lower Than A Level,70-80%,N
505413,F,South Region,A Level or Equivalent,80-90%,N
505417,F,South East Region,A Level or Equivalent,50-60%,Y
505488,M,Yorkshire Region,A Level or Equivalent,50-60%,N
505499,M,South East Region,A Level or Equivalent,60-70%,N
505501,F,London Region,Lower Than A Level,10-20,N
505503,F,South East Region,Lower Than A Level,0-10%,N
505508,M,Yorkshire Region,A Level or Equivalent,70-80%,N
505520,M,East Anglian Region,A Level or Equivalent,70-80%,N
505561,F,East Midlands Region,Lower Than A Level,50-60%,Y
505579,F,West Midlands Region,A Level or Equivalent,30-40%,N
505592,F,North Region,HE Qualification,20-30%,N
505595,F,London Region,Lower Than A Level,10-20,Y
505606,F,Yorkshire Region,A Level or Equivalent,0-10%,N
505692,F,North Region,Lower Than A Level,10-20,N
505694,F,Scotland,Lower Than A Level,10-20,N
505700,M,West Midlands Region,Lower Than A Level,30-40%,N
505722,M,North Western Region,A Level or Equivalent,0-10%,N
505727,M,Scotland,HE Qualification,50-60%,N
505754,F,Yorkshire Region,Lower Than A Level,80-90%,N
505762,F,South West Region,A Level or Equivalent,50-60%,N
505767,M,Scotland,HE Qualification,30-40%,N
505773,M,Scotland,HE Qualification,60-70%,N
505815,M,Yorkshire Region,A Level or Equivalent,40-50%,Y
505826,M,North Region,A Level or Equivalent,20-30%,N
505854,M,London Region,A Level or Equivalent,60-70%,N
505855,M,South West Region,A Level or Equivalent,60-70%,N
505856,M,Wales,Lower Than A Level,90-100%,N
505871,F,South West Region,A Level or Equivalent,0-10%,N
505878,F,East Midlands Region,A Level or Equivalent,50-60%,N
505899,F,Wales,A Level or Equivalent,40-50%,Y
505900,M,London Region,HE Qualification,10-20,N
505930,M,North Region,A Level or Equivalent,,N
505959,F,London Region,A Level or Equivalent,20-30%,N
505961,F,Wales,Lower Than A Level,80-90%,N
505967,F,East Midlands Region,Lower Than A Level,30-40%,N
506020,F,Scotland,HE Qualification,60-70%,N
506038,F,West Midlands Region,Lower Than A Level,40-50%,N
506056,M,North Western Region,Lower Than A Level,0-10%,N
506092,F,East Midlands Region,Lower Than A Level,90-100%,N
506144,M,Scotland,A Level or Equivalent,40-50%,N
506185,F,London Region,Lower Than A Level,60-70%,N
506205,M,East Anglian Region,A Level or Equivalent,20-30%,N
506206,F,North Western Region,Lower Than A Level,40-50%,Y
506219,F,West Midlands Region,A Level or Equivalent,40-50%,N
506233,F,South West Region,A Level or Equivalent,40-50%,N
506248,F,South East Region,Lower Than A Level,80-90%,N
506288,M,North Region,A Level or Equivalent,70-80%,N
506289,M,South Region,Lower Than A Level,40-50%,N
506309,F,East Anglian Region,A Level or Equivalent,70-80%,N
506321,M,South East Region,A Level or Equivalent,90-100%,N
506360,F,Ireland,A Level or Equivalent,80-90%,N
506380,M,South Region,HE Qualification,90-100%,N
506412,M,East Anglian Region,A Level or Equivalent,90-100%,N
506476,F,East Anglian Region,Lower Than A Level,30-40%,Y
506498,M,Scotland,A Level or Equivalent,0-10%,N
506504,M,South Region,Lower Than A Level,20-30%,N
506533,F,North Western Region,Lower Than A Level,0-10%,Y
506543,M,South East Region,Lower Than A Level,90-100%,N
506550,M,Wales,A Level or Equivalent,20-30%,N
506582,F,London Region,A Level or Equivalent,60-70%,N
506597,M,West Midlands Region,A Level or Equivalent,50-60%,N
506618,M,South West Region,HE Qualification,60-70%,N
506622,F,Yorkshire Region,A Level or Equivalent,30-40%,N
506650,F,South West Region,A Level or Equivalent,80-90%,N
506674,F,Wales,Lower Than A Level,30-40%,N
506679,F,London Region,Lower Than A Level,30-40%,N
506705,M,South West Region,A Level or Equivalent,80-90%,N
506753,F,South East Region,HE Qualification,90-100%,N
506767,F,Wales,Lower Than A Level,90-100%,N
506783,M,East Anglian Region,Lower Than A Level,60-70%,N
506785,M,East Midlands Region,A Level or Equivalent,70-80%,N
506804,F,North Region,A Level or Equivalent,20-30%,N
506824,M,South Region,Lower Than A Level,60-70%,N
506829,F,North Western Region,A Level or Equivalent,60-70%,N
506930,M,East Midlands Region,Lower Than A Level,0-10%,N
506980,F,Scotland,A Level or Equivalent,20-30%,N
507009,F,London Region,Lower Than A Level,20-30%,N
507010,M,North Region,A Level or Equivalent,40-50%,N
507014,F,East Anglian Region,A Level or Equivalent,80-90%,N
507016,F,North Western Region,A Level or Equivalent,40-50%,N
507031,M,Scotland,A Level or Equivalent,90-100%,N
507034,M,South Region,Post Graduate Qualification,90-100%,N
507084,F,North Western Region,Lower Than A Level,0-10%,N
507113,F,Yorkshire Region,A Level or Equivalent,50-60%,N
507115,M,Ireland,A Level or Equivalent,40-50%,N
507149,F,Yorkshire Region,HE Qualification,70-80%,N
507184,F,East Anglian Region,A Level or Equivalent,0-10%,N
507221,F,South Region,Lower Than A Level,40-50%,N
507257,M,South Region,A Level or Equivalent,20-30%,N
507279,F,West Midlands Region,Lower Than A Level,10-20,Y
507285,M,West Midlands Region,A Level or Equivalent,30-40%,N
507300,M,Scotland,Lower Than A Level,30-40%,N
507303,F,South Region,Lower Than A Level,30-40%,N
507311,M,South East Region,Lower Than A Level,10-20,N
507320,M,North Western Region,Lower Than A Level,50-60%,N
507334,F,East Anglian Region,Lower Than A Level,60-70%,N
507344,M,West Midlands Region,A Level or Equivalent,30-40%,N
507359,F,London Region,A Level or Equivalent,10-20,N
507375,F,East Anglian Region,Lower Than A Level,70-80%,N
507386,F,Yorkshire Region,Lower Than A Level,50-60%,N
507387,F,East Anglian Region,A Level or Equivalent,50-60%,N
507388,M,North Western Region,HE Qualification,50-60%,N
507389,F,Wales,Lower Than A Level,20-30%,N
507478,M,West Midlands Region,Lower Than A Level,,N
507485,F,London Region,Lower Than A Level,0-10%,N
507523,M,Scotland,HE Qualification,80-90%,N
507576,M,East Anglian Region,HE Qualification,40-50%,N
507577,M,North Western Region,A Level or Equivalent,40-50%,N
507671,F,North Western Region,A Level or Equivalent,20-30%,N
507676,F,Yorkshire Region,No Formal quals,20-30%,N
507685,F,North Region,A Level or Equivalent,0-10%,N
507730,M,London Region,Lower Than A Level,20-30%,N
507743,M,South East Region,A Level or Equivalent,50-60%,N
507783,F,Wales,HE Qualification,40-50%,N
507801,M,Yorkshire Region,A Level or Equivalent,10-20,N
507812,F,Yorkshire Region,Lower Than A Level,70-80%,N
507817,M,East Midlands Region,Lower Than A Level,10-20,N
507844,M,South West Region,A Level or Equivalent,40-50%,Y
507935,M,South East Region,A Level or Equivalent,10-20,Y
507941,F,Yorkshire Region,A Level or Equivalent,70-80%,N
507944,M,North Western Region,A Level or Equivalent,0-10%,N
507967,M,Scotland,HE Qualification,10-20,N
507983,F,Yorkshire Region,A Level or Equivalent,10-20,N
508025,F,West Midlands Region,A Level or Equivalent,70-80%,N
508028,F,South West Region,A Level or Equivalent,30-40%,N
508047,F,South East Region,Lower Than A Level,40-50%,Y
508059,M,West Midlands Region,A Level or Equivalent,80-90%,N
508068,M,Wales,HE Qualification,60-70%,N
508079,F,Wales,Lower Than A Level,40-50%,N
508100,M,South Region,Lower Than A Level,70-80%,N
508103,F,West Midlands Region,Lower Than A Level,10-20,N
508210,M,Wales,HE Qualification,80-90%,N
508227,F,East Midlands Region,A Level or Equivalent,10-20,N
508232,M,South West Region,Lower Than A Level,10-20,N
508244,F,London Region,HE Qualification,50-60%,N
508246,M,Wales,Lower Than A Level,90-100%,N
508274,F,Yorkshire Region,A Level or Equivalent,20-30%,N
508288,M,East Anglian Region,Lower Than A Level,10-20,Y
508295,F,East Anglian Region,A Level or Equivalent,70-80%,Y
508326,M,London Region,Lower Than A Level,20-30%,N
508388,M,East Anglian Region,A Level or Equivalent,10-20,N
508400,F,North Region,HE Qualification,0-10%,N
508414,F,South West Region,Lower Than A Level,60-70%,N
508422,M,Ireland,Lower Than A Level,40-50%,N
508431,F,South West Region,Lower Than A Level,50-60%,N
508446,M,Yorkshire Region,Lower Than A Level,0-10%,Y
508452,F,East Anglian Region,HE Qualification,30-40%,N
508469,M,Scotland,Lower Than A Level,60-70%,N
508470,M,North Western Region,Lower Than A Level,10-20,Y
508517,F,Yorkshire Region,No Formal quals,30-40%,N
508537,F,South West Region,A Level or Equivalent,10-20,N
